Type,Variable,Description,Abbreviation,PolicyObjective,IssueCategory,Units,RawPolarity,RAW Processing Script,Data available?,Calculation required,RawFileExists,Normalization,Transformation,Alpha,Target_Good,Target_Bad,Materiality,Babs,Btrend,CurrentStartYr,CurrentEndYr,OldStartYr,OldEndYr,CountryCoverage,RawStartYr,RawEndYr,Index,SummaryPDF,Source,Notes
Indicator,CO2 emissions from electricity & heat,log(total CO2 emissions from electricity and heat per kWh),CEH,Ecosystem,Climate,gCO2 / kWh,negative,~EPI2018/Work/Source/IEA/CEH_raw.R,yes,log(CEH),yes,none,none,,5%,95%,,,,,,,,143,2005,2014,0,1,IEA,http://www.oecd-ilibrary.org/energy/data/iea-co2-emissions-from-fuel-combustion-statistics_co2-data-en
Blend,Blend of absolute and trend in CO2 intensity,Blend of absolute and trend in CO2 intensity,DCT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*CDI + (1-p)*DCI,yes,none,none,,,,,CDI,DCI,2005,2014,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in CH4 intensity,Blend of absolute and trend in CH4 intensity,DMT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*CHI + (1-p)*DMI,yes,none,none,,,,,CHI,DMI,2005,2014,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in N2O intensity,Blend of absolute and trend in N2O intensity,DNT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*NOI + (1-p)*DNI,yes,none,none,,,,,NOI,DNI,2005,2014,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in SO2 intensity,Blend of absolute and trend in SO2 intensity,DST,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*SDI + (1-p)*DSI,yes,none,none,,,,,SDI,DSI,2001,2010,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in NOx intensity,Blend of absolute and trend in NOx intensity,DXT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*NXI + (1-p)*DXI,yes,none,none,,,,,NXI,DXI,2001,2010,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in Black Carbon intensity,Blend of absolute and trend in Black Carbon intensity,DBT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*BCI + (1-p)*DBI,yes,none,none,,,,,BCI,DBI,2001,2010,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in CO2/kWh,Blend of absolute and trend in CO2/kWh,DPT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*CEH + (1-p)*TPI,yes,none,none,,,,,CEH,TPI,2005,2014,2005,2014,,,,1,1,YCELP,
Auxiliary,Species Status Information Index,Species Status Information Index,SSI,Ecosystem,Biodiversity,?,positive,,yes,none,no,none,none,,95%,5%,,,,,,,,,,,0,0,MOL,
Auxiliary,F-Other gasses,Total F-Gas,FOG,Ecosystem,Climate,MtCO2e,negative,~EPI2018/Work/Source/CAIT/CAIT_raw.R,yes,none,yes,none,none,,,,,,,,,,,191,1990,2014,0,0,WRI-CAIT,
Auxiliary,GDP,GDP PPP in US$2011,GDP,,,US$2011,,~EPI2018/Work/Source/WorldBank/GDP_raw.R,yes,Hole-filling,yes,none,none,,,,,,,,,,,198,1997,2016,0,0,World Bank,
Auxiliary,Population,Population from GDP source file,POP,,,people,,~EPI2018/Work/Source/WorldBank/GDP_raw.R,yes,Hole-filling,yes,none,none,,,,,,,,,,,216,1997,2016,0,0,World Bank,
Auxiliary,GDP per capita,GDP / POP,GPC,,,$/person,,~EPI2018/Work/Source/WorldBank/GDP_raw.R,yes,GDP/POP,yes,none,none,,,,,,,,,,,198,1997,2016,0,0,YCELP,
Auxiliary,Logged GDP per capita,Log(GDP / POP),LGP,,,log($/person),,~EPI2018/Work/Source/WorldBank/GDP_raw.R,yes,Log(GDP/POP),yes,none,none,,,,,,,,,,,198,1997,2016,0,0,YCELP,
Legacy,Household air pollution from solid fuels,2014 Percent of households using solid fuels,L14.HAP,Health,AirQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,0,100,,,,,,,,,,,0,0,,Old abbreviation: HAP
Legacy,PM2.5 exposure,2014 Population-weighted exposure to PM2.5,L14.PME,Health,AirQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: PM25
Legacy,PM2.5 exceedance,2014 Exposure to levels of PM2.5 that exceed WHO limits,L14.PMX,Health,AirQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: PM25EXBL
Legacy,Household air pollution from solid fuels,2016 Percent of households using solid fuels,L16.HAP,Health,AirQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2016/L16Raw.R,yes,none,yes,none,,,0,100,,,,,,,,,,,0,0,,Old abbreviation: HAP
Legacy,PM2.5 exposure,2016 Population-weighted exposure to PM2.5,L16.PME,Health,AirQuality,microg/m3,negative,~EPI2018/Work/Lsource/Lsource_2016/L16Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: PM25
Legacy,PM2.5 exceedance,2016 Exposure to levels of PM2.5 that exceed WHO limits,L16.PMX,Health,AirQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2016/L16Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: PM25EXBL
Legacy,Unsafe sanitation ,2016 Proportion of population exposed to risks due to unsafe sanitation,L16.USN,Health,WaterQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2016/L16Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: ACSATR
Legacy,Unsafe water exposure,2016 Proportion of population exposed to risks due to unsafe water source,L16.UWS,Health,WaterQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: WATQ
Legacy,Unsafe sanitation,2014 Unsafe sanitation,L14.JSF,Health,WaterQuality,%,positive,,yes,none,yes,none,,,100,1%,,,,,,,,,,,0,0,,Old abbreviation: ACSAT
Legacy,Unsafe sanitation,2016 Unsafe sanitation,L16.JSF,Health,WaterQuality,%,positive,,yes,none,yes,none,,,100,1%,,,,,,,,,,,0,0,,Old abbreviation: ACSAT
Legacy,Drinking Water Quality,2014 Drinking Water Quality,L14.JDW,Health,WaterQuality,%,positive,,yes,none,yes,none,,,100,1%,,,,,,,,,,,0,0,,Old abbreviation: WATSUP
Legacy,Drinking Water Quality,2016 Drinking Water Quality,L16.JDW,Health,WaterQuality,%,positive,,yes,none,yes,none,,,100,1%,,,,,,,,,,,0,0,,Old abbreviation: WATSUP
Legacy,Marine protection,2014 Percentage of EEZ in marine protected area,L14.MPA,Ecosystem,Biodiversity,%,positive,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,10,0,,,,,,,,,,,0,0,,Old abbreviation: MPAEEZ
Legacy,Marine protection,2016 Percentage of EEZ in marine protected area,L16.MPA,Ecosystem,Biodiversity,%,positive,~EPI2018/Work/Lsource/Lsource_2016/L16Raw.R,yes,none,yes,none,,,10,0,,,,,,,,,,,0,0,,Old abbreviation: MPAEEZ
Legacy,Total CO2,2014 Total CO2 emissions,L14.CDT,Ecosystem,Climate,MtCO2e,negative,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,,,,,,,,,,,,,0,0,,Old abbreviation: CO2WRI
Legacy,Wastewater treatment,2014 Wastewater treatment level weighted by connection to wastewater treatment rate,L14.WWT,Ecosystem,WaterResources,%,positive,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,100,0,,,,,,,,,,,0,0,,Old abbreviation: WASTECXN
Legacy,Wastewater treatment,2016 Wastewater treatment level weighted by connection to wastewater treatment rate,L16.WWT,Ecosystem,WaterResources,%,positive,~EPI2018/Work/Lsource/Lsource_2016/L16Raw.R,yes,none,yes,none,,,100,0,,,,,,,,,,,0,0,,Old abbreviation: WASTECXN
Legacy,Fish Stock Status,2014 % of fish stocks that are Collapsed or Over-exploited,L14.FSS,Ecosystem,Fisheries,%,negative,,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: FSOC
Legacy,Fish Stock Status,2016 % of fish stocks that are Collapsed or Over-exploited,L16.FSS,Ecosystem,Fisheries,%,negative,,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: FSOC
Legacy,Terrestrial Biome Protection _ National weights,2014 Terrestrial Biome Protection _ National weights,L14.TBN,Ecosystem,Biodiversity,unitless,positive,,yes,none,yes,none,,,17,0,,,,,,,,,,,0,0,,Old abbreviation: PACOVD
Legacy,Terrestrial Biome Protection _ Global weights,2014 Terrestrial Biome Protection _ Global weights,L14.TBG,Ecosystem,Biodiversity,unitless,positive,,yes,none,yes,none,,,17,0,,,,,,,,,,,0,0,,Old abbreviation: PACOVW
Legacy,Terrestrial Biome Protection _ National weights,2016 Terrestrial Biome Protection _ National weights,L16.TBN,Ecosystem,Biodiversity,unitless,positive,,yes,none,yes,none,,,17,0,,,,,,,,,,,0,0,,Old abbreviation: PACOVD
Legacy,Terrestrial Biome Protection _ Global weights,2016 Terrestrial Biome Protection _ Global weights,L16.TBG,Ecosystem,Biodiversity,unitless,positive,,yes,none,yes,none,,,17,0,,,,,,,,,,,0,0,,Old abbreviation: PACOVW
Legacy,GDP,2014 GDP,L14.GDP,,,?,,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,,,,,,,,,,,,,0,0,,Old abbreviation: GDPPPP
Legacy,GDP,2016 World Bank GDP,L16.GDP,,,?,,,yes,none,yes,none,,,,,,,,,,,,,,,0,0,,Old abbreviation: WBGDP
Legacy,Population,2014 Population,L14.POP,,,people,,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,,,,,,,,,,,,,0,0,,Old abbreviation: POP
Legacy,Population,2016 Population,L16.POP,,,people,,,yes,none,yes,none,,,,,,,,,,,,,,,0,0,,Old abbreviation: WBPOP
Precursor,Total CO2,Total CO2 emissions,CDT,Ecosystem,Climate,MtCO2e,negative,~EPI2018/Work/Source/CAIT/CAIT_raw.R,yes,none,yes,none,,,,,,,,,,,,191,1990,2014,0,0,WRI-CAIT,
Precursor,CH4 emissions,Total CH4 emissions,CH4,Ecosystem,Climate,MtCO2e,negative,~EPI2018/Work/Source/CAIT/CAIT_raw.R,yes,none,yes,none,,,,,,,,,,,,191,1990,2014,0,0,WRI-CAIT,
Precursor,N2O emissions,Total N2O emissions,NOT,Ecosystem,Climate,MtCO2e,negative,~EPI2018/Work/Source/CAIT/CAIT_raw.R,yes,none,yes,none,,,,,,,,,,,,191,1990,2014,0,0,WRI-CAIT,
Precursor,SO2 emissions,Emissions of SO2,SO2,Ecosystem,AirPollution,Gg,negative,~EPI2018/Work/Source/EDGAR/EDGAR_raw.R,yes,none,yes,none,,,,,,,,,,,,215,1970,2010,0,0,EDGAR,http://edgar.jrc.ec.europa.eu/overview.php?v=431
Precursor,NOX emissions,Emissions of NOx ,NOX,Ecosystem,AirPollution,Gg,negative,~EPI2018/Work/Source/EDGAR/EDGAR_raw.R,yes,none,yes,none,,,,,,,,,,,,215,1970,2010,0,0,EDGAR,http://edgar.jrc.ec.europa.eu/overview.php?v=431
Precursor,PM2.5 exceedance,PM25_gt10_exceedance,PM1,Health,AirQuality,%,negative,~EPI2018/Work/Source/CIESIN-PM25/PME_raw.R,yes,none,yes,none,,,,,,,,,,,,229,2008,2015,0,0,CIESIN,
Precursor,PM2.5 exceedance,PM25_gt15_exceedance,PM2,Health,AirQuality,%,negative,~EPI2018/Work/Source/CIESIN-PM25/PME_raw.R,yes,none,yes,none,,,,,,,,,,,,228,2008,2015,0,0,CIESIN,
Precursor,PM2.5 exceedance,PM25_gt25_exceedance,PM3,Health,AirQuality,%,negative,~EPI2018/Work/Source/CIESIN-PM25/PME_raw.R,yes,none,yes,none,,,,,,,,,,,,229,2008,2015,0,0,CIESIN,
Precursor,PM2.5 exceedance,PM25_gt35_exceedance,PM4,Health,AirQuality,%,negative,~EPI2018/Work/Source/CIESIN-PM25/PME_raw.R,yes,none,yes,none,,,,,,,,,,,,229,2008,2015,0,0,CIESIN,
Precursor,BC emissions,Emissions of Black Carbon,BLC,Ecosystem,Climate,Gg,negative,~EPI2018/Work/Source/EDGAR/EDGAR_raw.R,yes,none,yes,none,,,,,,,,,,,,215,1970,2010,0,0,EDGAR,http://edgar.jrc.ec.europa.eu/overview.php?v=431
Precursor,Collapsed fish stocks,% of fish stocks that are Collapsed,FSC,Ecosystem,Fisheries,%,negative,~EPI2018/Work/Source/SAU/FSS_raw.R,yes,from EEZs,yes,none,,,,,,,,,,,,133,1950,2014,0,0,SAU,
Precursor,Over-exploited fish stocks,% of fish stocks that are Over-exploited,FSO,Ecosystem,Fisheries,%,negative,~EPI2018/Work/Source/SAU/FSS_raw.R,yes,from EEZs,yes,none,,,,,,,,,,,,133,1950,2014,0,0,SAU,
Precursor,Trend in CO2 intensity,Trend in CO2 intensity,TCI,Ecosystem,Climate,MtCO2e/US$2011/year,negative,~EPI2018/Work/Source/CAIT/CAIT_exploration.R,yes,10-year trend,yes,none,,,,,,,,,,,,,,,0,0,YCELP,
Precursor,Trend in Methane intensity,Trend in Methane intensity,TMI,Ecosystem,Climate,MtCO2e/US$2011/year,negative,~EPI2018/Work/Source/CAIT/CAIT_exploration.R,yes,10-year trend,yes,none,,,,,,,,,,,,,,,0,0,YCELP,
Precursor,Trend in N20 intensity,Trend in N20 intensity,TNI,Ecosystem,Climate,MtCO2e/US$2011/year,negative,~EPI2018/Work/Source/CAIT/CAIT_exploration.R,yes,10-year trend,yes,none,,,,,,,,,,,,,,,0,0,YCELP,
Precursor,Trend in SO2 intensity,Trend in SO2 intensity,TSI,Ecosystem,AirPollution,Gg/US$2011/year,negative,~EPI2018/Work/Source/EDGAR/EDGAR_exploration.R,yes,10-year trend,yes,none,,,,,,,,,,,,,,,0,0,YCELP,
Precursor,Trend in NOx intensity,Trend in NOx intensity,TXI,Ecosystem,AirPollution,Gg/US$2011/year,negative,~EPI2018/Work/Source/EDGAR/EDGAR_exploration.R,yes,10-year trend,yes,none,,,,,,,,,,,,,,,0,0,YCELP,
Precursor,Trend in BC intensity,Trend in BC intensity,TBI,Ecosystem,Climate,Gg/US$2011,Climate,~EPI2018/Work/Source/EDGAR/EDGAR_exploration.R,yes,10-year trend,yes,none,,,,,,,,,,,,,,,0,0,YCELP,
Precursor,Wastewater treatment,"percentage of collected, generated, or produced wastewater that is treated",WST,Ecosystem,WaterResources,%,positive,,yes,none,yes,none,,,,,,,,,,,,179,1990,2016,0,0,YCELP,
Precursor,Connection to wastewater treatment facilities,percentage of population connected to centralized wastewater treatment facilities,CXN,Ecosystem,WaterResources,%,positive,,yes,none,yes,none,,,,,,,,,,,,180,1990,2016,0,0,YCELP,
Precursor,Marine Trophic Index,"Marine Trophic Index, aggregated to the country level",MTI,Ecosystem,Fisheries,unitless,positive,,yes,Land-area weighted aggregation,no,none,none,,,,,,,,,,,,,,0,0,SAU,
Precursor,Nitrogen Use Efficiency,,NUE,Ecosystem,Agriculture,unitless,,,yes,none,,none,,,,,,,,,,,,,,,0,0,Zhang et alia,
Precursor,Nitrogen Yield,Nitrogen Yield,NRY,Ecosystem,Agriculture,kg N/ha,,,yes,complicated,,none,,,,,,,,,,,,,,,0,0,Zhang et alia,
Precursor,Normalized Nitrogen Yield,Normalized Nitrogen Yield,NNY,Ecosystem,Agriculture,unitless,,,yes,complicated,,none,,,,,,,,,,,,,,,0,0,Zhang et alia,
Stop,Disability-Adjusted Life Years,Disability-Adjusted Life Years,DLY,Health,,Life-years,,~EPI2018/Work/Source/IHME-DALY/DLY_exploration.R,yes,none,no,none,,,,,,,,,,,,,2000,2015,0,0,IHME-GBD,http://ghdx.healthdata.org/gbd-results-tool?params=querytool-permalink/69321a041f1c750fc8ab1a7068fe27b5
